pair_id,answer_letter,easy_qid,easy_pmax,easy_margin,easy_entropy,easy_correct,easy_question,hard_qid,hard_pmax,hard_margin,hard_entropy,hard_correct,hard_question
eh_A_000,A,sqa_test_4d2468c871bb288e79d73987ccaee18c81caab33dd3e8fdee5abc9630211c08a,0.9998179884433218,0.9997443104886133,0.0019451194439080706,0,,sqa_test_1268491ba4c601a4db258eb69259916033dba5ae9a15e9193170a4376525adf2,0.33691662235905906,0.034906513957315755,1.3458301462109308,0,
eh_A_001,A,sqa_test_a731d567cab75e4c83653397a882f31ed58947a8fda2616d3f1ab593c4298e11,0.9997741876255405,0.9995974511448156,0.0022678378213677915,1,,sqa_test_ee9a9942c2ea19ac8842f9b4a8ce2a8367397fe0df82096e6381e4dd12ea0cc5,0.3512792078717584,0.06005848121851115,1.2840859375011113,0,
eh_A_002,A,sqa_test_9d6461c01ef5e4a76979b171cd5f30c6219297d9bb191f4e0959becc6e88d336,0.9990835966820261,0.9987038159599797,0.008281930417842354,1,,sqa_test_0919f910a6ce6a69da8cafc52fa63aa9dc3c2dda495fbde2bc72755d4ea31f1d,0.3585215348742859,0.026943318833350383,1.3053782145672783,0,
eh_A_003,A,sqa_test_4baa01324136a9c5dbb5b616912aa4b4d7ec0cd0a8b8e2db0b26cd99755d182f,0.9975160304088876,0.9962130643859434,0.01930203617471304,1,,sqa_test_8282687029e3239a502cdea27e2578797cd5fbc6478b09e27f5e70c1f2f7cfce,0.3590751435820219,0.026984923184750598,1.240189605844996,0,
eh_A_004,A,sqa_test_f266829f905b3f556eb572718e27f683a4c8444bdf7a683d9117ef9724adbb40,0.9970509406382879,0.9950020430106831,0.022081279109110674,1,,sqa_test_78199b573492fe77132fd6ad091d6e754bea5ce4333c271019b22efacace7265,0.36129408885179853,0.0842803019259506,1.3217823329812064,0,
eh_A_005,A,sqa_test_1b58a69b2ee6cf738ff0ba34bfdd2e0a299aaa5e3887de721adfbbc444ad56ef,0.9959486015476978,0.9935558463592218,0.02968146429165831,1,,sqa_test_0b19f4d846bfa06ce4ab25292b9ec9a914e8113f8dfffbf550242ffa31eb9c70,0.3685010815117002,0.13789898343472445,1.3503114548163886,1,
eh_A_006,A,sqa_test_a5a8e9ef594ee09aed97f76fe279d0fcbf91b927076d1601de65112dc8490a8e,0.9935610906100253,0.9883473607661165,0.04216001494606143,1,,sqa_test_b5096830c182dfe8cf6958102fc779a242cd9ca855f3ec20c1a19bff149b30d8,0.374047958458493,0.0781516334636097,1.319565020958441,0,
eh_A_007,A,sqa_test_84c9bf6021fa5b2d0e153b1894f24f0245ad4f0c0c13bd0b7c1d1775b7add90d,0.9932555404994575,0.9903318024829527,0.04743017242251722,1,,sqa_test_1d6c1c8c4342066408110a7349266ffcd9403faecddb14ef5d577ffc2c82eba3,0.37930501929982846,0.10179953904216638,1.2993751593916107,0,
eh_A_008,A,sqa_test_fcfba6f3e0f42b43e146ca4066db9b84d049661c70cc17d09ad100738eef850a,0.9931423776250438,0.9869535293763907,0.04360025529372313,1,,sqa_test_0997202e457f1ccc6189c0b4624735021e2073cfd9d584c0f00de835b6f288cc,0.3927841502479998,0.029518238345675518,1.2195851433256235,1,
eh_B_000,B,sqa_test_6bea9cdc64fc2f576e4c337bca834f9074293f18319489a0210aaeb371d642de,0.9999225045300338,0.9998805196928651,0.0008742852990520032,0,,sqa_test_14f1e3c9173010d1f2e2860572073d00233a7372b23dae5213450c74e6e36f2c,0.2778231557781392,0.012722448574042533,1.3824418795182853,0,
eh_B_001,B,sqa_test_9a2eea65cb48b8e7ce6532236545e7ce3d5d0d48762fc6aba5a53299f6915b86,0.9998125621224873,0.9996541305584705,0.0018896512021840085,1,,sqa_test_dd388c56e185c6ad268fbd38f738e644b822e681774a880d58080fff224f3f7f,0.29306804666563113,0.0045435645283860016,1.3543465896665343,0,
eh_B_002,B,sqa_test_9d7286985a26c4ee2c1e1a3356b2deae6f41fe2d4246ac34be309c3e4ccac196,0.9997701400982533,0.9995602613107488,0.002231000553295425,1,,sqa_test_1cf225649b6fc038c2d9ed7d37f6db49934aca56f02077b84872977708d719a7,0.33985230361156443,0.01556297006042523,1.2222202236785153,0,
eh_B_003,B,sqa_test_3ea2c8df4d7c23c93d3a51f3f1bff1e1732053ac36ded34ebd752442d3500859,0.9997410359467964,0.9995529072047221,0.0025527687163613864,0,,sqa_test_d468b8e53c9767113f8d9b13d431c2dfe3b838f6537d9ffc1d7ac77bb35c3099,0.34792398798515795,0.021079648805741757,1.2683991319539163,0,
eh_B_004,B,sqa_test_b2e4d52aabc99068fda7ffa2ce0b269f64ceb47e8df49464658cf7ea6b6dad0b,0.9997048561734339,0.9995225221832044,0.002952065940487817,1,,sqa_test_4ff84fa33eb439d2fcb58d98ceb4b75abc9ac8170abc3bc2a7b23860f4460003,0.3487382332582805,0.09556953961896725,0.9428936951399048,0,
