question_id,entropy,pmax,margin,correct,correct_answer,SelfProb,OtherProb,question_text,gap_abs,gap_signed,direction
sqa_test_009ba615d1362b1de5daaf5123d96e9b1d023a5fe1d0a977a6c3fa89618edd7e,0.29763624719263376,0.938657660188203,0.9165825462453765,1.0,C,0.026548249758256925,0.025023647327846343,,0.001524602430410582,0.001524602430410582,Self>Other
sqa_test_010d5323ff33865209928b02bcdfc54158092c35b5f30f40b2ea1b5f3aa56c8f,0.8140561261872495,0.4869224450601235,0.0,0.0,A,0.02618346539966552,0.025294592543994358,,0.0008888728556711613,0.0008888728556711613,Self>Other
sqa_test_0163e7d03c561f73f214dd8e465349d500bf60a7a6a3d8e9e3a7d0d614ccf4bb,1.0791111334892944,0.5963069214201538,0.3769378251751968,0.0,B,0.035629226700455804,0.02521956813522341,,0.010409658565232394,0.010409658565232394,Self>Other
sqa_test_01aa87b4450dfc9d2b0d049501c256442bfc29cabf070dd524a31ff29e9c0840,0.5306964191793136,0.8468494501534829,0.7322408416659929,1.0,B,0.02597087602393036,0.02510902974600895,,0.000861846277921411,0.000861846277921411,Self>Other
sqa_test_0227098556a959b5231dd6baed0245081c786753058d7a0cf8dbebac2c8152da,0.670156823541379,0.7515821558170526,0.5362502565235536,1.0,A,0.5306944081299284,0.0372825323806466,,0.4934118757492818,0.4934118757492818,Self>Other
sqa_test_02f4ed9255acfd91b0600e4f5cdb78a88146b3c5a3b38c4f2efeae04d7f621f0,0.5819016345618294,0.8363091652100322,0.7231270274629573,1.0,A,0.025141433961651145,0.02501992340228803,,0.00012151055936311661,0.00012151055936311661,Self>Other
sqa_test_02fa00a17c617b0d7d5b82afcc1adf3c61477e1f9ca98540fb3ac2c397507f72,0.5443990711503958,0.8526445293744849,0.7826552043541054,0.0,D,0.035383127093952804,0.025315937886173992,,0.010067189207778812,0.010067189207778812,Self>Other
sqa_test_03922247bb6b34c880c5d234b20020f4e5a29263211910d0c17c580c0e417266,1.0810899389970356,0.4727925247781216,0.10458133625061389,1.0,D,0.028048143328900023,0.025030637735094074,,0.003017505593805949,0.003017505593805949,Self>Other
sqa_test_051c3cddbf9d6e40c5d1403ee7809fda8ce4fbe6b69f6d90bc4f2728f9802bd5,0.5037588856404831,0.8666170314706919,0.7752762724448264,0.0,D,0.02646718742674992,0.025082861661495672,,0.0013843257652542476,0.0013843257652542476,Self>Other
sqa_test_05ee2f2b4870aceac22826fc49771cc14f9db805821a82fac5c031c75dbd8b6a,0.12056891608345452,0.9789201423354283,0.9649565960047697,0.0,D,0.04626787023575696,0.025139986479265325,,0.021127883756491633,0.021127883756491633,Self>Other
sqa_test_062f83bd3892166ca91c052fe43d1f9fe8bbfb9870ddc44144001c35d20aa1dd,0.2035799336767604,0.9618737623206551,0.9481533697284219,1.0,A,0.029437577426085937,0.025046101257533062,,0.004391476168552875,0.004391476168552875,Self>Other
sqa_test_0650b67961ce5adb190da1794a402eba6e3728cd0f7f516a9d292580da1bbbd3,0.01447024830727289,0.9981478332844752,0.9966471787817588,0.0,D,0.03530200150605769,0.025294916807093844,,0.010007084698963845,0.010007084698963845,Self>Other
sqa_test_06c8bafadff1502c95177fbbb80130e70a36b0cdf7261e434cc7879d779c3b75,0.9660562703229134,0.6458241054472005,0.46079237925113703,0.0,B,0.026634569140382612,0.0250714094294974,,0.0015631597108852133,0.0015631597108852133,Self>Other
sqa_test_07823f9d8817d103feb3c0c70d26c47ab7378bff76a662a09983999371e047ab,1.157303007978506,0.4933841857708888,0.26032599876136164,0.0,B,0.02885233041835258,0.025183953219357118,,0.003668377198995463,0.003668377198995463,Self>Other
sqa_test_0919f910a6ce6a69da8cafc52fa63aa9dc3c2dda495fbde2bc72755d4ea31f1d,0.17142003811323395,0.9688878666587801,0.9550674221070685,0.0,A,0.051201284808124865,0.025619729924373676,,0.02558155488375119,0.02558155488375119,Self>Other
sqa_test_0997202e457f1ccc6189c0b4624735021e2073cfd9d584c0f00de835b6f288cc,1.1848580483638025,0.5174255277540918,0.2730110149086912,0.0,A,0.02914407033219688,0.025066427267410908,,0.004077643064785971,0.004077643064785971,Self>Other
sqa_test_0a4c35e7735d618d992179a3425a852e4510f637973fb8fc6a8027f0658c22a9,0.004497436741302513,0.9995330613801361,0.9992719247813019,0.0,B,0.02735562984760673,0.025133257101455597,,0.002222372746151134,0.002222372746151134,Self>Other
sqa_test_0b19f4d846bfa06ce4ab25292b9ec9a914e8113f8dfffbf550242ffa31eb9c70,0.7374866771511793,0.7344615592093907,0.5240347993864858,0.0,A,0.03476952687462083,0.02517683272217844,,0.009592694152442387,0.009592694152442387,Self>Other
sqa_test_0be78447e3ea0ea3020ebc56ecd5e6807fe34b9f6a7bb1995afe68d29cdf41bc,0.7970906336547086,0.6895966852534263,0.435908211806696,0.0,B,0.025469270887948217,0.02507406628126954,,0.00039520460667867574,0.00039520460667867574,Self>Other
sqa_test_0ea1af26e64ab27f3b890c31e3070604d3ac7b5462bb208997b63f16f7957a61,0.3142706378799726,0.9300938631526227,0.8837872136392211,0.0,C,0.06622157004826866,0.025228922083261295,,0.040992647965007366,0.040992647965007366,Self>Other
sqa_test_0f9d85e9f5a3ee7af5ccb6b885a4be9aa1b0b2774b321f2aec6ee99555e10721,0.15233979402455833,0.9710101298294497,0.9532254615511864,0.0,D,0.14547696512971023,0.025344601379576486,,0.12013236375013374,0.12013236375013374,Self>Other
sqa_test_104c0e5526f9e0135cf80fe8428f3d0a2bc32ad026a28a107e2ecd976346bc4e,0.28337606724358155,0.9312299812332914,0.8716984433462963,0.0,B,0.03237671209463157,0.025225361767147913,,0.0071513503274836555,0.0071513503274836555,Self>Other
sqa_test_10f76735391f41160a7cd48281a1fdb0e04af1e5a47e0e2ffc160abf48b35f10,0.7987372871172359,0.6516107635646966,0.3438116334507005,0.0,D,0.025727002746092634,0.025271295865057383,,0.00045570688103525187,0.00045570688103525187,Self>Other
sqa_test_110f739da429f9568c2420d40b078c0cc571df2eccf431acd7faee8beb0776e6,0.0050920376706424094,0.9994446825163452,0.999014179252315,0.0,C,0.034047904105757705,0.025008095849336723,,0.009039808256420982,0.009039808256420982,Self>Other
sqa_test_1166e036dc56b0824480482e0da72990fe94dcbbcf6804336812e0260caa9711,0.8246196050322416,0.7141736152172191,0.5095594303725693,0.0,A,0.11667771731313671,0.03952124553800954,,0.07715647177512716,0.07715647177512716,Self>Other
sqa_test_11fa323ade73b2738854db758b7d2f891c2b30eaf25628ad8578f73093a6dafd,1.020961210414412,0.48159938874980024,0.10652940766474589,0.0,C,0.027314706049371338,0.025902307252888022,,0.0014123987964833155,0.0014123987964833155,Self>Other
sqa_test_1215fa2d1ee9186c75c96c26d6adc91f1eb4282d00d28092fdd2fa3d14ab9200,0.003585119822361387,0.999642468767058,0.9995026771600795,1.0,C,0.712004994858979,0.027657476094425478,,0.6843475187645535,0.6843475187645535,Self>Other
sqa_test_1268491ba4c601a4db258eb69259916033dba5ae9a15e9193170a4376525adf2,0.0008020491092018235,0.9999291919025023,0.9998777506601435,1.0,A,0.054594888177349955,0.02636514144873696,,0.028229746728612996,0.028229746728612996,Self>Other
sqa_test_127c45a6feaccb8a4e88692ab4d675438c49527bf5813b3e9f0620b1b9a7c364,0.7221849703258345,0.5587761372497918,0.12360086993650715,0.0,A,0.025540446626390025,0.025057531188413393,,0.0004829154379766311,0.0004829154379766311,Self>Other
sqa_test_12c48ea9cf2ec0e183d874b9efae0c9e8f202faece7368fe65cebb7781334310,0.099538673346488,0.9808837761960163,0.9629182666730463,0.0,D,0.02741232649483067,0.02564864275185,,0.0017636837429806686,0.0017636837429806686,Self>Other
