pair_id,A_qid,A_Self,A_Other,A_entropy,A_pmax,A_margin,A_correct,A_question_text,B_qid,B_Self,B_Other,B_entropy,B_pmax,B_margin,B_correct,B_question_text
intro_012,sqa_test_20d084df9d7565f16ca67c2fa338e73fc4527114b094ea39e33a4f16b438750f,0.478652636709372,0.028549626172129305,0.018272288921585448,0.9974382361637225,0.9949658338772425,1,,sqa_test_5e0d51f03a08c58078e98e46c1be4928e263f3bf455503c2a2b642f941997cd3,0.02587702906223446,0.025142209249940484,0.9515175167214005,0.570599225214303,0.2245132800852251,1,
intro_032,sqa_test_98221aa2b76ab00fdee7034421d1cc54c0fa0be7d99bf9288c733cd5846a11c9,0.15559970428853195,0.03264140878350513,0.01583367912271368,0.998066660611814,0.996898044915568,1,,sqa_test_ce816448ba08818b81f73e32a2ed03fff1d31ed1e7f07199bd42129b64b25d59,0.026617630777975198,0.025110323933385678,0.975511996066788,0.5543783530545721,0.2181309249297987,0,
intro_023,sqa_test_72cf4bc043e2e4a7ef2f1f6b0208afe7632debb41c1e71c6934011e5aa620ec3,0.2416188251972694,0.026754189523170248,0.0025147334257465265,0.9997580033457277,0.9996491209461152,0,,sqa_test_4ff84fa33eb439d2fcb58d98ceb4b75abc9ac8170abc3bc2a7b23860f4460003,0.026318137944178872,0.025254011104328896,0.9263897681711826,0.6994803098489396,0.5779288797756416,1,
intro_004,sqa_test_6bea9cdc64fc2f576e4c337bca834f9074293f18319489a0210aaeb371d642de,0.8153704328365489,0.1329900484569413,0.001618249131335378,0.9998488383448814,0.99975274124813,0,,sqa_test_670263205e91d781b778aced7a03ac0d0737eb891359639eb1c02ad115e946b5,0.025372717932803646,0.025063693558898342,0.8900531955608989,0.585057835120382,0.23020232041477162,0,
intro_001,sqa_test_9d7286985a26c4ee2c1e1a3356b2deae6f41fe2d4246ac34be309c3e4ccac196,0.9446878717814068,0.17040163102782924,0.00031224402560868866,0.9999736813071176,0.9999493811154144,1,,sqa_test_1984659f182697f6dd5382ae3be5592b54e45c49729e4236d81da3f7a4a0ec3c,0.025259977739333403,0.025019895033398125,0.9015331670348106,0.7030404227308957,0.5461708865909023,1,
intro_002,sqa_test_a2ee0f9e1d81123b42bd6b4ee113fbf4020314b184b1aa0d92e3ca9044caff21,0.8614584987031367,0.05602673891687314,0.06785155138684845,0.9891361423930478,0.9824713970424808,1,,sqa_test_f2ce67616cd40ccf513be3830e4f531b81656c5ab0cd11f946a84a2f83b8bd4f,0.025297695108844928,0.025120364146264063,0.9872550962286283,0.5935018625276482,0.3131514336800914,1,
intro_025,sqa_test_18e58bf28a569c55ff6beaef0a5928838393bd42e3d161e81866dc09c5405fb7,0.18677256708537793,0.06229650852350853,0.012583947055507444,0.9985067540031718,0.9975962338097244,0,,sqa_test_273b41ec5183303b7aaa5ee57d91ee8b2605cb147edecb1a2733259d7012003d,0.026394793135001725,0.0251564645936043,0.7367451875158733,0.5570542481280158,0.12321996347266445,0,
intro_021,sqa_test_f255b07c12685251e216805908fed4a801c9bb5b8b83cb8ecf348c73e186a8e3,0.2654631025375202,0.02557529880652369,0.000427677759327958,0.9999652923906042,0.999950553697659,1,,sqa_test_4d66cfb721680890a147cf169be129a6c8a117b50a040609430cef6e50303932,0.02614513421767275,0.025017755450701343,0.9143177116936629,0.6709265454014253,0.4787028603456567,0,
intro_027,sqa_test_83f61c81465dca5809582fad41ffd6fde762da020ae063784a4cc5ca4d32af88,0.1727961017765094,0.025108835460178527,0.006784207209347437,0.9992424694871831,0.9986898041605613,0,,sqa_test_c5543da22e1aa18bba61d0f46f29f2976fffbf5065275ac626d8993827bb61c9,0.026441466453530207,0.025431697982272506,0.799949920902886,0.7343156945497009,0.6067107681760934,0,
intro_014,sqa_test_56ed28fe93a9be035dd87f35ce932dfd7d04cb03c48e4add8bd03a65812407da,0.4425868839230153,0.16983292733482466,0.044741588071456825,0.9933698190151711,0.9893101427867584,1,,sqa_test_c5792cab43b4fb85a829692fd2af7f699fce26b2d7c1fefd5fcfa2c941fede17,0.025932628645526586,0.025011702277946874,0.9379202569378364,0.6505306684948944,0.41121380257190954,0,
