question_id,SelfProb,OtherProb,gap_abs,gap_signed,direction,pmax,margin,correct,entropy,correct_answer,question_text
sqa_test_1d47b1567644d647f6e76152a619dd069bc03442e2080fe9818a79d2db73aeb1,0.9322077693334219,0.08837873393787037,0.8438290353955515,0.8438290353955515,Self>Other,0.9974524569820551,0.9949800190363957,1.0,0.01810119416214627,B,
sqa_test_58eacf324c51436324d5039e1b34f78a8cf6bed05288585d86eb28c20eccee24,0.6397276562208809,0.1390578672910603,0.5006697889298206,0.5006697889298206,Self>Other,0.9889235143224306,0.9779375681134274,0.0,0.06145994634355375,B,
sqa_test_fcfba6f3e0f42b43e146ca4066db9b84d049661c70cc17d09ad100738eef850a,0.4808168394799809,0.09617585141636305,0.38464098806361785,0.38464098806361785,Self>Other,0.9999999895542883,0.9999999832054882,1.0,2.10333941156446e-07,A,
sqa_test_bc31e54fccd7f835ec78a6bfd9c0986f1aae467752117e4b2e89e401283056be,0.9162835310253591,0.29926660672537253,0.6170169242999866,0.6170169242999866,Self>Other,0.6220008365638554,0.328188428081576,1.0,0.8636214725851686,D,
sqa_test_8bd82619803c27ef6739c38aff0a5db82dd93c57e27388b5df830ba7248f7a30,0.6077202275472765,0.15556468946586147,0.45215553808141506,0.45215553808141506,Self>Other,0.7161231342379568,0.45267616365588714,0.0,0.6841771851719993,B,
sqa_test_28cbd1317841e2a14443359a117b343154b9735b3eac075af187bb39c426c338,0.8557557828874547,0.23387156416399613,0.6218842187234586,0.6218842187234586,Self>Other,0.999999858794302,0.9999997594823611,1.0,2.480595075961901e-06,C,
sqa_test_72cf4bc043e2e4a7ef2f1f6b0208afe7632debb41c1e71c6934011e5aa620ec3,0.7645241871689119,0.2979101699928432,0.4666140171760687,0.4666140171760687,Self>Other,0.9999831327322352,0.9999701256586322,0.0,0.0002129320545073534,C,
sqa_test_4e56eba5aa4f418b42652333abc74c66c00f3f48473fce026b6910d99b61790e,0.8753240025486753,0.11087160162707324,0.764452400921602,0.764452400921602,Self>Other,0.9999981760319779,0.9999964156890865,1.0,2.6231243649309496e-05,D,
sqa_test_9a550b6b2ceb8121fefdfcf283345374867d0ae0a208301ce9974e84e5e29fd7,0.774100000828809,0.08897589211833175,0.6851241087104772,0.6851241087104772,Self>Other,0.9999999999581968,0.999999999928796,1.0,1.0740181715850976e-09,B,
sqa_test_cdc5f3a246db12ad87ba6f87672c14f92a146a6be8533c0c26418ea7c080c6de,0.6107389808346397,0.29561215107188993,0.3151268297627498,0.3151268297627498,Self>Other,0.9995692325420256,0.9991386756426189,0.0,0.0037710249185735492,B,
sqa_test_0227098556a959b5231dd6baed0245081c786753058d7a0cf8dbebac2c8152da,0.9496969880110993,0.30288466776100637,0.6468123202500928,0.6468123202500928,Self>Other,0.9999998016639262,0.9999996161247825,0.0,3.3155359097999256e-06,A,
sqa_test_7039963e6eda3a165053addae5c43b270901cba68e15d206d5ada47745088ff8,0.74294710407558,0.07842221252074616,0.6645248915548339,0.6645248915548339,Self>Other,0.9999986592168473,0.9999974493508894,1.0,1.991583641840205e-05,B,
sqa_test_b7c32978e530c10fac3ff5638b8fbe446e94dc87e21c86b98dad0cd64ba44f05,0.8661645411363813,0.07530583595835312,0.7908587051780281,0.7908587051780281,Self>Other,0.9996635228615248,0.99932817312813,0.0,0.0030352757909549136,C,
sqa_test_9e88523da3829fe0badacf1cb5fbd57883a35ebce6ad5b4da0b68d4b50bae482,0.8528597327090092,0.24273142379059925,0.61012830891841,0.61012830891841,Self>Other,0.997526622173853,0.9950540014019588,0.0,0.017322944751762638,B,
sqa_test_ced0e41b8a0b0b80adde11a55c399d859a16edfcb97f575d664c6122401a4acc,0.7112817893087804,0.16162389139663758,0.5496578979121428,0.5496578979121428,Self>Other,0.9985569401264909,0.9973877503992814,0.0,0.01163452721608349,C,
sqa_test_9a2eea65cb48b8e7ce6532236545e7ce3d5d0d48762fc6aba5a53299f6915b86,0.8489085634318747,0.18881777588081725,0.6600907875510574,0.6600907875510574,Self>Other,0.9999999973276765,0.9999999949920835,1.0,5.6632957288878725e-08,B,
sqa_test_3dd34561876ebf7e37841ffdc986cd3d87db3626558b39502994d7de071da475,0.8430858886579724,0.4997869100887471,0.3432989785692253,0.3432989785692253,Self>Other,0.9999999997032636,0.9999999995115464,1.0,7.070403513386857e-09,B,
sqa_test_56ed28fe93a9be035dd87f35ce932dfd7d04cb03c48e4add8bd03a65812407da,0.8365370165654096,0.38707667940184504,0.44946033716356454,0.44946033716356454,Self>Other,0.9984980576630035,0.9969968764560284,0.0,0.011271592431405476,D,
sqa_test_7fa1372435a8eb85fefeb7a27539744b2bad7f14f36ca6623767c99ae38c1fae,0.6619585240720414,0.2073658544626973,0.4545926696093441,0.4545926696093441,Self>Other,0.622404740272481,0.24489718254674292,1.0,0.6637567771579477,D,
sqa_test_c5470616624e7b9e14b4820a8bc3b5e93f7c6c7ef3186ab951fd537f8cb72818,0.7633946400885977,0.07568604567254832,0.6877085944160494,0.6877085944160494,Self>Other,0.9996270099396487,0.9992916723793566,0.0,0.0034612376253159317,A,
sqa_test_164b44c3693dc77003947fc33061b02f042e09586c3bdce4380178a0448b3ac0,0.7767976164673084,0.21847636980653956,0.5583212466607688,0.5583212466607688,Self>Other,0.9999154944094876,0.999857204693036,1.0,0.0009473550075932576,A,
sqa_test_3ea2c8df4d7c23c93d3a51f3f1bff1e1732053ac36ded34ebd752442d3500859,0.8216409082563549,0.07499756582739271,0.7466433424289622,0.7466433424289622,Self>Other,0.9980731859929947,0.9961464516236977,0.0,0.013972108584666191,B,
sqa_test_b7c936e6457711145fd959c7fab224c5fd66c32d2f10419f53399cd6f2f7ec93,0.9499041547250728,0.29967335910069787,0.6502307956243749,0.6502307956243749,Self>Other,0.9998583971097735,0.9997185753345663,1.0,0.001407227480754544,D,
sqa_test_baa47e5e93bcc990db867c3c7df6e734e640b0c01e6168495642ad33b3dc3d9b,0.5202458671835694,0.07524067545103381,0.44500519173253555,0.44500519173253555,Self>Other,0.9350005580207299,0.8752279654392792,0.0,0.26173616445526937,A,
